Department,faculty name
Chemical Engineering,Housam Binous
Chemical Engineering,Amjad Ashfaque Shaikh
Chemical Engineering,Mohammad Mozahar Hossain
Chemical Engineering,Shaikh Abdur Razzak
Chemical Engineering,Nabeel Salem Abo-Ghander
Chemical Engineering,Faysal Mohammad Mansour Al-Khulaifi
Chemical Engineering,Nayef Mesnad Alsaifi
Chemical Engineering,Ali Saleh Alshami
Chemical Engineering,Zuhair Omar Malyabari
Chemical Engineering,Isa Ataallah Saeed Al Aslani
Chemical Engineering,Mustafa Saleh Nasser
Chemical Engineering,Isam Hasan Fahed Al-Jundi
Chemical Engineering,Abdulhadi Abdullah Hassan Al-Zahrani
Chemical Engineering,Farrukh Shehzad
Chemical Engineering,Umer Zahid Muhammad Zahid Hassan
Chemical Engineering,Mohammed Ahmed Sanhoob
Chemical Engineering,Mohammed Fahad Al-Khater
Chemical Engineering,Robin Simon Macpherson Chrystie
Chemistry,Prof. M. Z. El-Faer
Chemistry,Abdulaziz A. Suwaiyan
Chemistry,Dr. Abdullah J. Hamdan
Chemistry,Abdul Rahman Al-Arfaj
Chemistry,Dr. Assad Al-Thukair
Chemistry,Hasan Al-Muallem
Chemistry,Jameel Al-Thagfi
Chemistry,Abdul-Rahman Al-Betar
Chemistry,Professor Dr. Salah M Sultan
Chemistry,Dr. Mohammad Nahid Siddiqui
Chemistry,Dr. M. A. Morsy
Chemistry,Dr. Mazen Khaled
Chemistry,Mohammed. Fettouhi
Chemistry,Bassam El Ali
Chemistry,Dr. Zaki S. Seddigi
Chemistry,Prof. Dr. Abdalla Abulkibash
Chemistry,Dr. Mohammed TAriq Saeed
Chemistry,Prof. Jimmy S. Hwang
Chemistry,Prof. Mohamed I. M. Wazeer
Chemistry,Ali El-Said El-Rayyes
Chemistry,Dr.Mohammad Waqar Ashraf
Chemistry,"Dr. Than Htun, Maung"
Chemistry,Dr. Ghassan Oweimreen
Chemistry,Dr. Mohammed A. Al-Daous
Chemistry,Prof. Shaikh Asrof Ali
Chemistry,ABDUL MUTTALEB YOUSEFJABER
Chemistry,Dr. Anvarhusein A. Isab
Chemistry,Hassan Mohamed Badawi
Chemistry,Dr. Herman Perzanowski
Chemistry,Dr. Ian Forristal
Chemistry,Ahmed Baker Al-Harbi
Chemistry,Dr. Wolfgang Foerner
Chemistry,Abdulaziz Al-Saadi
Chemistry,Dr. Bassam Alameddine
Chemistry,Abdel-Nasser Kawde
Chemistry,Nisar Ullah
Chemistry,khalid R Alhooshani
Chemistry,Basheer Chanbasha
Chemistry,Mohammad Raziq Al Imam
Chemistry,Oussama El-Bjeirami
Chemistry,Amer Adnan Samih El-Batta
Chemistry,Musa Mohammed Musa
Chemistry,Nouri Mohamed Hassan
Chemistry,Md. Hasan Zahir
Chemistry,Mohammed Nasiruzzaman Shaikh
Chemistry,Salim Ok
Chemistry,Muhammad Yar
Chemistry,Abdullah Faisal Abdullah Al-Ahmadi
Chemistry,Alexis Nzila Mouanda
Chemistry,Mohammad Abu Jafar Mazumder
Chemistry,Abdul Malik Puthan Peedikakkal
Chemistry,Othman Sadeq othman Al Hamouz
Chemistry,Thaer Ali Barri
Chemistry,Tawfik Abdo Saleh Awadh
Chemistry,Thomas Frederick Garrison
Chemistry,Almaz Jalilov
Chemistry,Ali Rinaldi Bin Anand
Chemistry,Sulayman Adeyemi Oladepo
Chemistry,Muhammad Sharif
Chemistry,Abdul Rehman
Computer Engineering,Dr Adnan Abdul-Aziz Gutub
Computer Engineering,Muhammad Mahmoud
Computer Engineering,Yahya E. Osais
Computer Engineering,Uthman Al-Saiari
Computer Engineering,Masud-ul-Hasan
Computer Engineering,Nizar Mabroukeh
Computer Engineering,Taha Landolsi
Computer Engineering,Syed Zafar Shazli
Computer Engineering,Yau Isa Garba
Computer Engineering,Tarek Sheltami
Computer Engineering,Talal M. ALkharobi
Computer Engineering,Dr. Muhamed F. Mudawar
Computer Engineering,Aleem Khalid Alvi
Computer Engineering,Radwan El-Said Abdel-Aal
Computer Engineering,Mohammed K. Al Ghuson
Computer Engineering,Ahmad A. Al-Yamani
Computer Engineering,Dr. Sadiq S. Mohammed
Computer Engineering,"Dr. Bouhraoua, Abdelhafid"
Computer Engineering,"Mr. Adiche, Hakim Salah"
Computer Engineering,"Dr. El-Maleh, Aiman Helmi"
Computer Engineering,"Dr. Al-Mulhem, Abdulaziz Sultan Ibrahim"
Computer Engineering,"Dr. Al-Najjar, Atef Jawad"
Computer Engineering,"Dr. Amin, Alaaeldin Abdul Monem"
Computer Engineering,"Dr. Naseer, Abdul Rahim"
Computer Engineering,"Dr. Mahmoud, Ashraf Sharif Hasan"
Computer Engineering,"Dr. Elrabaa, Mohamed Elnasir Salaheddin"
Computer Engineering,"Mr. Selmi, Hazem Helmi Muhareb"
Computer Engineering,"Mr. Chenaoua, Kamel"
Computer Engineering,"Mr. Alawami, Louai Adnan"
Computer Engineering,"Dr. Al-Mouhamed, Mayez"
Computer Engineering,"Dr. Abd-El-Barr, Mostafa Ibrahim Hassanin"
Computer Engineering,"Mr. Raad, Muhammad Wassim"
Computer Engineering,"Dr. Sqalli, Mohammed Houssaini"
Computer Engineering,"Dr. Baroudi, Uthman Abdul-Rahman"
Computer Engineering,Dr. Basem AL-Madani
Computer Engineering,Ahmad Almulhem
Computer Engineering,Bambang A.B. Sarif
Computer Engineering,Dr. Marwan Abu-Amara
Computer Engineering,Abdulaziz S. Tabakh
Computer Engineering,Zubair Ahmed Baig
Computer Engineering,Hosam Khaled Rowaihy
Computer Engineering,Abdulaziz Yaagoub Barnawi
Computer Engineering,Mohammad Abdurazzak Shafai Felemban
Computer Engineering,Ahmad Muhammad Ghazali Khayyat
Computer Engineering,Saleh Ahmed AlSaleh
City and Regional Planning,Dr. Habib M. Alshuwaikhat
City and Regional Planning,Ali S. Al-Naser
City and Regional Planning,Dr. Adel S. Aldosary
City and Regional Planning,Saad Al-Mubayedh
City and Regional Planning,Dr. Baqer Al-Ramadan
City and Regional Planning,Kh. Md. Nahiduzzaman
City and Regional Planning,Muhammad Tauhidur Rahman
City and Regional Planning,Jayprakash Shivarudrappa Chadchan
City and Regional Planning,Abdulaziz Majed Alqadhib
City and Regional Planning,Bader Muzahim Bajaber
City and Regional Planning,Tae Hyoung Gim
City and Regional Planning,Yose Kadrin
City and Regional Planning,Turki Nasser Alomeer
Preparatory Year Program,shaher arafeh
Preparatory Year Program,Akram Ahmad
Preparatory Year Program,Sayed Omar
Preparatory Year Program,Husam Sharqawi
Preparatory Year Program,Balarabe Yushau
Preparatory Year Program,George Raburu
Preparatory Year Program,Eddie Uprichard
Preparatory Year Program,Khalid Saifullah
Preparatory Year Program,Abujiya Ramat Muázu
Preparatory Year Program,"Alaimia, Mohamed Ridha"
Preparatory Year Program,bayram demir
Preparatory Year Program,Ahmad Al-Zoubi
Preparatory Year Program,colin fry
Preparatory Year Program,jameson
Preparatory Year Program,Sean Dowling
Preparatory Year Program,J.C. Williams
Preparatory Year Program,Elyas Al-Shawish
Preparatory Year Program,Christopher Morris
Preparatory Year Program,Johnny H. Miller
Preparatory Year Program,Stephen Jones
Preparatory Year Program,Ian Deacon
Preparatory Year Program,Andrew McKay
Preparatory Year Program,Tylor Burrows
Preparatory Year Program,Muhammad Ali Khan
Preparatory Year Program,Dan Oxley
Preparatory Year Program,Jeffrey Gibbons
Preparatory Year Program,Akram Read Morsy
Preparatory Year Program,David Malcolm Berry
Preparatory Year Program,Wesley Joseph Cowan
Preparatory Year Program,Anthony Julian Odell
Preparatory Year Program,Thomas Daly
Preparatory Year Program,Denis Hoppe
Preparatory Year Program,Ashraf Mohamed Samir Farahat
Preparatory Year Program,Naji Fahmi Mohammad Ibrahim
Preparatory Year Program,Tayseer Rafe Mohammad Abu Alrub
Preparatory Year Program,David Robert Jones
Preparatory Year Program,Gregory Scott Samuelson
Preparatory Year Program,Scott Gary Surran
Preparatory Year Program,Joseph Jonathan Yardley
Preparatory Year Program,Maxwell James Heineck
Preparatory Year Program,David Snow
Preparatory Year Program,Shah Saud Alam
Preparatory Year Program,Faraz Jamshaid Ali Baber
Preparatory Year Program,Stephen Wright
Preparatory Year Program,Mohammad Bilal Ahmed
Preparatory Year Program,Dominick Joseph Antonucci
Preparatory Year Program,Ahmed Mahdi Muqbil Ahmed
Electrical Engineering,Dr. Talal Omar Halawani
Electrical Engineering,Samir H. Abdul-Jauwad
Electrical Engineering,"Dr. Alakhdhar, S. Z."
Electrical Engineering,Dr. Omar Abdallah Al-Swailem
Electrical Engineering,Dr. H. A. Jamid
Electrical Engineering,Ibrahim O Habiballah
Electrical Engineering,Dr. Husain M. Masoudi
Electrical Engineering,Saud A. Al-Semari
Electrical Engineering,Abdallah Al-Ahmari
Electrical Engineering,Saad Al-Shaharani
Electrical Engineering,Ali Ahmad Al-Shaikhi
Electrical Engineering,Dr. Salam Adel Zummo
Electrical Engineering,Saad S. Al-Ubaidi
Electrical Engineering,Hesham Muhammad Al-Salman
Electrical Engineering,Rakan A. Al-Ohali
Electrical Engineering,Mohammad K. Al-Ghamdi
Electrical Engineering,SAAD M A AL-AHMADI
Electrical Engineering,Dr. Ibrahim El-Amin
Electrical Engineering,Youssef L. Abdel-Magid
Electrical Engineering,Ahmed Yamani
Electrical Engineering,Maan A. Kousa
Electrical Engineering,Azzedine Zerguine
Electrical Engineering,Dr Mohammad A. Abido
Electrical Engineering,Umar M. Johar
Electrical Engineering,Sheikh Sharif Iqbal
Electrical Engineering,Noman Ali Tasadduq
Electrical Engineering,Dr. Abdelmalek Zidouri
Electrical Engineering,Abul Bashar
Electrical Engineering,Ahmar Shafi
Electrical Engineering,Asrar Ul Haq Sheikh
Electrical Engineering,M Mosaddequr Rahman
Electrical Engineering,Muhammad Ajmal Khan
Electrical Engineering,Dr M Deriche
Electrical Engineering,MOHAMMED ABDUL MAJID
Electrical Engineering,Kamran Arshad
Electrical Engineering,abdelouahab bentrcia
Electrical Engineering,Mohammad Nuruzzaman
Electrical Engineering,Mohammed Hamed Shwehdi
Electrical Engineering,Jamil M. Bakhashwain
Electrical Engineering,Dr. Haitham Tayyar
Electrical Engineering,Dr. Adil S. Balghonaim
Electrical Engineering,Dr. Samir A. AL-Baiyat
Electrical Engineering,Yasir Haroon Awan
Electrical Engineering,Dr.A.H.Abdur-Rahim
Electrical Engineering,Ali Taleb Al-Awami
Electrical Engineering,Dr. Ahmad A. Masoud
Electrical Engineering,"Al-Saihati, Ibrahim"
Electrical Engineering,Dr. Mahmoud M. Dawoud
Electrical Engineering,Dr. Al-Gahtani Muhammad Ali
Electrical Engineering,Dr. Alaa El-Din Hussein
Electrical Engineering,mohamed mohandes
Electrical Engineering,Dr. Munir A. Al-Absi
Electrical Engineering,Ali Hussein Muqaibel
Electrical Engineering,Zakariya Al-Hamouz
Electrical Engineering,Dr. Essam E. Hassan
Electrical Engineering,Dr. Hussain Alzaher
Electrical Engineering,Mihammad Fareed Kandlawala
Electrical Engineering,Ahmed Abul Hussain
Electrical Engineering,Dr. Wajih A. Abu-Al-Saud
Electrical Engineering,Dr. M. Kassas
Electrical Engineering,Dr. Hussain Al-Duwaish
Electrical Engineering,Dr. Mohammad Alsunaidi
Electrical Engineering,Mohammad Al-Muhaini
Electrical Engineering,Chokri Belhaj Ahmed
Electrical Engineering,Dr. Tareq Al-Naffouri
Electrical Engineering,Hassan Ali Ragheb
Electrical Engineering,Kashif Mahmood
Electrical Engineering,Dr. Samir Al-Ghadhban
Electrical Engineering,Abdel-aal Hassan Mantawy
Electrical Engineering,Yahya Al-Harthi
Electrical Engineering,Syed Saad Azhar Ali
Electrical Engineering,Mohammad Adnan Al-Andalusi
Electrical Engineering,Dr. M. Taher Abuelmaatti
Electrical Engineering,Khaled AlQahtani
Electrical Engineering,"Mohamed, Mohamed Syed Mansour"
Electrical Engineering,Badr Mohamed Abdullah
Electrical Engineering,Wail Abdalhakeem Mousa Mousa
Electrical Engineering,Mohamed Abdul Haleem
Electrical Engineering,Syed Zeeshan Rizvi
Electrical Engineering,Khurram Karim Qureshi
Electrical Engineering,Ahmed Abdul Quadeer
Electrical Engineering,Muhammad Saqib Sohail
Electrical Engineering,Badr Hamad Aldohan
Electrical Engineering,Yaqub Alhussain Yahya Mahnashi
Electrical Engineering,Wessam Ali Mesbah
Electrical Engineering,Oualid Hammi
Electrical Engineering,Abeida Habti
Electrical Engineering,Abdullah Mohammed Saeed Al-Garni
Electrical Engineering,Ubaid Muhsen Al-Saggaf
Electrical Engineering,Fahad Saleh Mohammed Al-Ismail
Electrical Engineering,Hakan Koroglu
Electrical Engineering,Abdullah Faisal Al-Battal
Electrical Engineering,Kamal Menwal Harb
Electrical Engineering,Zainulabideen Jamal Ahmad Khalifa
Electrical Engineering,Raj Mittra
Electrical Engineering,Motaz Abdulrahman Al Farraj
Electrical Engineering,Mohammad Saleh Alhassoun
Electrical Engineering,Eyas Saleh ِAbdulaziz Al-Suhaibani
Electrical Engineering,Salim Ibrir
Electrical Engineering,Ashraf Ali Mohammad Ali
Electrical Engineering,Suhail Ibrahim Al-Dharrab
Electrical Engineering,Abdullah Mohammed ِِAbdulrahman Alothman
Electrical Engineering,Mohammed Zahed Mustafa Khan
Electrical Engineering,Jhonathan Prieto Rojas
Electrical Engineering,Hussein Mahmoud Abdelsalam Attia
Electrical Engineering,Ali Arshad Nasir
Electrical Engineering,Abdulaziz Mohammed H Qwbaiban
Electrical Engineering,Feras Mohamad Ameer Al Dirini
Electrical Engineering,Hesham Mahmoud Medhat Mahmoud Elsawy
Electrical Engineering,Abdulaziz Ahmed Suwaiyan Al-khulaifi
Electrical Engineering,Abdullah Laiq Shah
Electrical Engineering,Mohamed Atta Ahmed Abdulgalil
Electrical Engineering,Fahhad Hussain Alharbi
Electrical Engineering,Anas Mohamed Aatef Ata Salhab
Electrical Engineering,Bo Liu
Electrical Engineering,Muhammad Khalid
Electrical Engineering,Mudassir Masood Masood Ali
Electrical Engineering,Naveed Iqbal
Electrical Engineering,Aboubakr Salem Mohamed Salem
Earth Sciences,Khattab Ghaleb Al-Hinai
Earth Sciences,Dr. Waleed M. R. Abdulghani
Earth Sciences,Ali Mohammed Al-Ghamdi
Earth Sciences,Dr. Mohammad H. Makkawi
Earth Sciences,Abdullatif Al-Shuhail
Earth Sciences,Dr. Abdulaziz Al-Shaibani
Earth Sciences,Dr. Mustafa M. Hariri
Earth Sciences,Dr. Zulfiqar Ahmed
Earth Sciences,Dr. A. Abokhodair
Earth Sciences,Ali Osman Oncel
Earth Sciences,mahbub
Earth Sciences,Osman Abdullatif
Earth Sciences,Mohammad AL-Homud
Earth Sciences,Ali Al-Dakhil-Allah
Earth Sciences,A.adly Kh. Al-Saafin
Earth Sciences,SALEH S. M. AL-ENEZY
Earth Sciences,Abdulrahman Jarad
Earth Sciences,Khalid Al-Ramadan
Earth Sciences,Dr. SanLinn Isma'il Kaka
